Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic
4072,Bunting,8725,86.21%,8.83%,0.64%,0.29%,1.64%,2.40%
4080,Burkhardt,8707,94.59%,1.27%,0.60%,0.25%,1.25%,2.03%
4096,Brittain,8671,89.81%,4.39%,0.63%,0.50%,1.87%,2.80%
4100,Boothe,8656,78.99%,16.71%,0.37%,0.51%,1.63%,1.80%
4105,Bannister,8639,68.65%,23.34%,1.74%,0.45%,2.67%,3.15%
4133,Bandy,8582,79.54%,14.43%,1.03%,0.65%,1.79%,2.56%
4149,Burley,8542,62.00%,32.36%,0.50%,0.75%,2.59%,1.80%
4154,Boss,8529,86.69%,8.44%,0.55%,0.72%,1.64%,1.96%
4167,Bontrager,8507,97.97%,0.24%,0.14%,0.14%,0.61%,0.91%
4178,Barnette,8480,77.74%,17.54%,0.38%,0.90%,1.52%,1.93%
4200,Begley,8435,93.63%,1.79%,0.33%,0.32%,2.03%,1.90%
4213,Blackwood,8407,72.78%,19.04%,0.50%,1.24%,2.03%,4.40%
4236,Bertram,8369,91.03%,3.07%,0.60%,0.60%,1.57%,3.14%
4270,Burchett,8318,88.59%,7.00%,0.24%,0.71%,1.97%,1.49%
4279,Battaglia,8308,94.73%,0.25%,0.42%,0.12%,1.20%,3.27%
4280,Ballinger,8306,87.95%,6.21%,0.53%,0.67%,2.08%,2.55%
4293,Bianchi,8284,89.67%,0.47%,0.47%,0.11%,0.92%,8.37%
4299,Bracken,8265,89.72%,5.86%,0.58%,0.33%,1.46%,2.06%
4308,Bear,8252,78.05%,0.91%,2.85%,10.53%,2.84%,4.82%
4343,Bradbury,8172,93.26%,1.93%,0.49%,0.37%,1.86%,2.09%
4394,Buckingham,8094,85.82%,9.01%,0.67%,0.57%,1.87%,2.08%
4427,Budd,8026,85.76%,8.19%,0.70%,0.46%,1.89%,3.00%
4442,Badger,7987,76.96%,17.78%,0.61%,0.43%,2.32%,1.90%
4457,Bounds,7960,82.89%,11.47%,0.55%,0.63%,2.11%,2.35%
4470,Blythe,7947,84.93%,8.93%,0.44%,0.77%,2.59%,2.34%
4477,Buxton,7925,82.65%,11.72%,0.72%,0.86%,2.12%,1.93%
4489,Beeler,7902,91.88%,3.66%,0.38%,0.68%,1.73%,1.67%
4514,Ballew,7857,88.62%,4.34%,0.62%,1.62%,2.16%,2.63%
4544,Bricker,7792,95.88%,0.39%,0.51%,0.39%,0.91%,1.93%
4547,Buchholz,7790,95.12%,0.23%,0.60%,0.39%,1.50%,2.16%
4555,Basile,7783,93.19%,2.20%,0.55%,0.19%,0.93%,2.94%
4561,Barrows,7773,87.52%,4.95%,1.12%,0.81%,2.30%,3.29%
4577,Brogan,7754,94.66%,1.12%,0.54%,0.30%,1.42%,1.96%
4589,Bahr,7731,92.96%,0.54%,0.48%,1.13%,1.47%,3.41%
4590,Bickford,7728,94.53%,0.49%,0.54%,0.84%,1.42%,2.17%
4597,Batten,7716,84.78%,10.85%,0.44%,0.58%,1.70%,1.65%
4606,Battles,7702,61.96%,31.10%,0.52%,1.60%,2.69%,2.14%
4611,Bristol,7694,73.07%,18.39%,1.18%,0.39%,2.59%,4.38%
4625,Boren,7672,92.82%,0.64%,0.53%,0.95%,1.93%,3.13%
4669,Boling,7597,91.37%,2.86%,0.72%,0.76%,1.86%,2.44%
4679,Bunker,7581,93.18%,0.88%,0.58%,1.24%,1.68%,2.44%
4707,Burrow,7539,84.02%,10.04%,0.48%,1.13%,2.08%,2.25%
4717,Berryman,7517,79.22%,15.47%,0.36%,0.82%,1.82%,2.30%
4726,Bolt,7504,89.31%,5.49%,0.79%,0.65%,1.45%,2.31%
4729,Berlin,7503,93.11%,1.15%,0.92%,1.32%,0.96%,2.55%
4753,Brannan,7452,91.98%,2.01%,0.66%,0.50%,1.52%,3.34%
4764,Beale,7431,70.97%,23.29%,0.85%,0.54%,2.27%,2.07%
4772,Bucher,7417,94.49%,0.47%,0.69%,0.23%,1.42%,2.71%
