Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic
10140,Vieyra,3180,6.42%,0.38%,0.35%,(S),(S),92.58%
10200,Vivar,3158,2.69%,(S),5.57%,(S),0.28%,91.23%
10258,Villagrana,3142,2.58%,(S),0.32%,(S),0.22%,96.66%
10306,Vassar,3126,75.98%,16.25%,0.58%,1.60%,3.10%,2.50%
10382,Voight,3103,94.20%,0.68%,0.52%,0.42%,1.55%,2.64%
10396,Vasques,3099,10.84%,0.58%,0.58%,0.32%,0.77%,86.90%
10396,Verner,3099,71.93%,22.91%,0.61%,0.52%,1.23%,2.81%
10462,VanKirk,3073,95.57%,0.33%,0.68%,0.42%,1.43%,1.56%
10512,Villani,3053,90.83%,(S),1.80%,(S),0.72%,5.90%
10584,Vidrine,3029,95.38%,2.21%,(S),(S),1.09%,1.02%
10603,Vizcaíno,3020,4.47%,0.36%,(S),0.20%,(S),94.70%
10615,Vila,3016,22.21%,0.63%,5.87%,0.17%,0.83%,70.29%
10653,Villafaña,3003,3.86%,3.66%,0.50%,(S),(S),91.77%
10886,Vachon,2928,93.17%,1.30%,0.82%,0.24%,1.74%,2.73%
10947,Vecchio,2909,90.96%,(S),0.34%,(S),0.89%,7.53%
11204,Venezia,2821,94.01%,0.35%,0.67%,0.21%,0.99%,3.76%
11466,Virgil,2746,35.00%,48.69%,0.80%,0.40%,2.40%,12.71%
11466,Vivas,2746,4.73%,(S),2.44%,(S),0.91%,91.19%
11508,Vandergriff,2733,90.67%,3.51%,0.22%,0.91%,1.87%,2.82%
11697,Vanek,2679,95.63%,0.37%,0.82%,0.45%,0.67%,2.05%
11719,Vivian,2674,72.10%,6.17%,1.87%,0.26%,1.53%,18.06%
11778,Vreeland,2661,94.48%,0.45%,0.71%,0.60%,1.62%,2.14%
11810,VanTassel,2650,93.89%,(S),0.75%,(S),1.66%,3.02%
11890,Vallée,2633,90.39%,1.41%,0.61%,1.48%,1.75%,4.37%
12059,Vacca,2586,88.75%,(S),0.70%,(S),0.62%,9.36%
12089,Vanatta,2578,94.72%,0.35%,0.50%,1.09%,1.44%,1.90%
12156,Vass,2563,83.11%,10.89%,1.37%,0.43%,1.68%,2.54%
12182,Varnell,2558,88.15%,6.96%,0.31%,1.41%,1.45%,1.72%
12192,Vento,2555,66.34%,(S),1.10%,(S),0.86%,31.00%
12247,Visconti,2540,91.77%,(S),0.43%,(S),0.83%,6.65%
12274,Vinyard,2534,90.96%,1.54%,0.75%,2.21%,2.05%,2.49%
12289,Valiente,2530,7.59%,(S),11.07%,(S),0.87%,80.04%
12328,Villalón,2522,6.42%,(S),9.83%,(S),1.15%,82.28%
12417,VanEtten,2504,94.89%,0.52%,0.76%,0.52%,1.52%,1.80%
12467,Victory,2490,79.16%,9.24%,2.45%,2.13%,3.49%,3.53%
12496,Veit,2481,92.10%,1.17%,0.85%,1.17%,1.21%,3.51%
12540,Volker,2471,95.91%,0.77%,0.49%,0.20%,0.89%,1.74%
12613,Villafañe,2454,6.64%,1.02%,0.69%,(S),(S),91.28%
12652,Valderrama,2445,6.63%,0.82%,4.46%,0.20%,0.94%,86.95%
12670,VanFleet,2439,94.55%,0.29%,0.45%,1.48%,1.44%,1.80%
12676,Villasana,2438,5.82%,0.49%,0.78%,(S),(S),92.66%
12692,Veilleux,2433,95.73%,(S),0.82%,(S),1.07%,2.14%
12766,VanArsdale,2417,86.72%,7.41%,0.46%,0.41%,2.81%,2.19%
12785,Viers,2413,93.83%,1.95%,0.37%,0.37%,1.28%,2.20%
12821,Viloria,2405,6.36%,0.25%,54.43%,0.37%,6.90%,31.68%
12827,VanSlyke,2403,92.18%,1.96%,0.92%,0.79%,1.96%,2.21%
12833,Vinci,2400,95.46%,(S),0.75%,(S),0.79%,2.50%
12842,VanAllen,2397,88.65%,4.80%,0.75%,1.17%,2.09%,2.54%
12886,Verde,2387,41.22%,1.80%,5.11%,0.75%,0.46%,50.65%
13057,Vowell,2351,91.92%,2.13%,0.64%,0.64%,1.91%,2.76%
13101,Vansant,2340,92.35%,1.03%,1.24%,0.98%,1.54%,2.86%
13124,Vanderhoof,2335,93.10%,0.60%,0.73%,0.56%,2.83%,2.18%
13124,Villicana,2335,3.94%,(S),0.21%,(S),(S),95.46%
13190,Vaz,2317,51.66%,16.36%,16.49%,0.43%,3.11%,11.96%
13195,Verdi,2316,80.01%,(S),7.43%,(S),1.38%,10.10%
13203,Virgin,2315,75.46%,13.26%,0.39%,0.65%,2.16%,8.08%
13214,Vanderlinden,2313,93.90%,(S),0.99%,(S),1.38%,3.33%
13221,VanValkenburg,2311,96.24%,(S),0.52%,(S),1.47%,1.17%
13221,Vilchis,2311,2.16%,(S),(S),0.30%,(S),97.19%
13267,Vine,2299,83.69%,10.00%,0.70%,0.39%,1.78%,3.44%
13283,VanOrden,2296,94.25%,0.52%,0.96%,0.35%,1.61%,2.31%
13357,Vides,2282,6.40%,(S),0.44%,(S),(S),92.77%
13376,Vandam,2277,93.32%,0.44%,1.05%,0.57%,1.76%,2.85%
13397,Vess,2274,94.46%,0.75%,0.57%,0.75%,1.32%,2.15%
13431,Vaquera,2269,4.14%,(S),(S),0.26%,(S),95.28%
