Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic
5942,Lippert,5794,95.12%,0.36%,0.60%,0.48%,1.28%,2.16%
5968,Loveland,5766,94.05%,1.02%,0.54%,0.38%,1.40%,2.60%
5988,LaChance,5744,95.73%,0.19%,0.35%,0.59%,1.24%,1.90%
6001,Lawlor,5729,95.04%,0.21%,0.91%,0.19%,1.29%,2.36%
6029,Lightner,5701,76.11%,18.63%,0.44%,0.35%,2.30%,2.18%
6033,Leatherman,5696,93.35%,1.54%,0.74%,0.95%,1.25%,2.18%
6088,Laguna,5633,10.53%,0.75%,3.34%,0.51%,0.23%,84.64%
6100,Lamas,5621,14.57%,1.26%,0.87%,0.48%,0.52%,82.30%
6104,LaRoche,5618,77.25%,12.89%,0.57%,3.65%,2.58%,3.06%
6117,Lowrey,5607,89.69%,3.23%,0.59%,1.37%,2.27%,2.85%
6130,LaBoy,5590,13.35%,2.63%,0.38%,0.20%,0.38%,83.08%
6137,Landau,5582,95.72%,(S),0.81%,(S),0.75%,2.33%
6137,Lessard,5582,95.04%,1.00%,0.48%,0.47%,1.29%,1.72%
6148,LaFrance,5574,75.74%,17.44%,0.52%,2.01%,1.83%,2.46%
6172,LeJeune,5544,93.42%,2.53%,0.72%,0.56%,1.10%,1.68%
6214,Lees,5502,94.77%,0.65%,0.75%,0.75%,0.85%,2.24%
6242,Lenhart,5476,95.65%,0.38%,0.47%,0.46%,1.15%,1.88%
6245,Lefèvre,5472,90.28%,4.53%,0.62%,0.38%,1.41%,2.78%
6248,Lawhorn,5465,76.56%,18.43%,0.59%,0.81%,2.07%,1.56%
6271,Lowder,5449,92.02%,4.48%,0.66%,0.17%,1.49%,1.19%
6288,Luckey,5434,55.83%,37.60%,0.40%,0.53%,2.61%,3.02%
6298,Lupo,5425,93.92%,0.35%,0.83%,0.15%,1.03%,3.72%
6306,Legrand,5413,68.30%,23.59%,0.33%,0.70%,1.64%,5.43%
6311,Levitt,5407,92.47%,2.68%,1.05%,0.11%,1.55%,2.13%
6318,Loucks,5403,94.02%,0.72%,0.72%,0.67%,1.72%,2.15%
6423,Lampe,5290,93.84%,0.55%,1.13%,0.87%,1.34%,2.27%
