Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic
13413,Nebel,2272,92.74%,1.32%,0.62%,0.79%,1.06%,3.48%
13472,Nease,2259,94.78%,1.11%,0.66%,0.71%,1.24%,1.51%
13494,Nantz,2251,83.92%,(S),1.73%,(S),1.42%,12.53%
13502,Nehring,2248,95.20%,0.31%,0.58%,0.36%,1.07%,2.49%
13509,Northington,2245,50.38%,43.39%,0.36%,0.45%,3.30%,2.14%
13551,Noguera,2237,8.58%,1.79%,4.96%,0.00%,0.89%,83.77%
13583,Nakano,2232,7.84%,(S),79.39%,(S),8.78%,3.58%
13798,Nock,2191,68.10%,26.38%,0.68%,0.59%,2.60%,1.64%
13815,Narayanan,2188,2.38%,0.46%,95.29%,(S),1.37%,(S)
13834,Nasir,2185,18.95%,14.28%,59.73%,0.27%,5.17%,1.60%
13834,Nickle,2185,89.84%,5.22%,0.64%,0.69%,1.56%,2.06%
13903,Nordquist,2172,95.21%,0.23%,0.74%,0.32%,1.47%,2.03%
13997,Nealon,2153,89.41%,5.43%,1.02%,0.37%,0.84%,2.93%
14046,Nicastro,2144,93.84%,0.56%,(S),(S),0.51%,4.43%
14139,Neira,2125,12.19%,0.28%,0.38%,(S),(S),86.87%
14201,Neher,2114,91.86%,0.76%,1.89%,0.80%,2.55%,2.13%
14227,Nicodemus,2108,91.70%,0.81%,3.27%,0.47%,1.19%,2.56%
14274,Nicolosi,2098,95.00%,(S),(S),(S),1.05%,3.43%
14316,Nettleton,2090,94.45%,0.53%,0.57%,0.86%,1.67%,1.91%
14338,Neece,2087,94.83%,1.20%,0.43%,0.29%,1.10%,2.16%
14378,Nell,2079,84.85%,7.65%,0.87%,0.29%,1.39%,4.95%
14409,Norden,2074,91.90%,2.84%,1.45%,0.34%,0.96%,2.51%
14489,Nass,2060,95.49%,0.73%,0.78%,0.29%,1.02%,1.70%
14528,Neitzel,2052,95.76%,0.29%,0.58%,0.44%,1.32%,1.61%
14564,Natoli,2046,95.45%,(S),0.78%,(S),0.68%,2.49%
14656,Newberg,2030,93.74%,0.69%,0.54%,0.59%,2.22%,2.22%
14706,Nuzzo,2021,94.51%,(S),0.84%,(S),1.14%,3.32%
14734,Nicolai,2017,87.31%,0.40%,0.50%,6.89%,1.34%,3.57%
14761,Natarajan,2012,3.03%,(S),94.18%,0.30%,2.19%,(S)
14803,Nazarian,2004,91.32%,0.30%,0.35%,0.00%,5.54%,2.50%
14838,Newbury,1997,93.19%,0.80%,0.60%,0.45%,1.90%,3.05%
14933,Nisbet,1982,94.20%,(S),1.21%,(S),1.41%,2.17%
14986,Netherton,1972,95.99%,(S),(S),0.61%,1.22%,1.67%
14991,Nicola,1971,85.84%,1.93%,0.71%,0.66%,1.57%,9.28%
15005,Nicklas,1968,94.41%,0.71%,(S),(S),0.86%,3.46%
15074,Nogueira,1957,69.70%,3.17%,2.81%,(S),(S),22.94%
15080,Normandin,1956,92.33%,(S),0.72%,(S),1.84%,4.50%
15127,Narciso,1949,31.66%,(S),29.86%,(S),2.00%,35.30%
15217,Nathanson,1936,95.92%,(S),0.88%,(S),1.03%,2.07%
15238,Nayak,1930,2.90%,0.26%,93.73%,0.31%,2.18%,0.62%
15278,Naqvi,1922,4.79%,(S),89.23%,(S),4.37%,0.88%
15303,Nokes,1918,87.90%,5.84%,0.68%,0.68%,2.40%,2.50%
15328,Nigh,1913,92.58%,1.73%,0.73%,0.89%,1.83%,2.25%
15340,Nale,1912,89.17%,4.39%,2.46%,0.68%,1.62%,1.67%
15527,Noren,1885,92.10%,1.64%,1.27%,0.32%,1.17%,3.50%
15625,Nivens,1870,71.28%,23.16%,0.37%,0.32%,2.25%,2.62%
15673,Noell,1862,83.94%,9.83%,(S),(S),2.63%,2.15%
15692,Nathaniel,1859,14.79%,63.96%,6.94%,3.60%,5.97%,4.73%
15712,Neuenschwander,1856,96.93%,(S),0.59%,(S),0.81%,1.51%
15777,Noffsinger,1847,95.07%,(S),0.65%,(S),1.79%,1.89%
15806,Navarra,1842,69.60%,(S),13.03%,(S),1.63%,15.20%
15827,Nañez,1839,6.25%,(S),1.96%,0.76%,(S),90.65%
15857,Nur,1835,4.52%,84.47%,7.08%,0.33%,2.34%,1.25%
15912,Nakata,1826,9.64%,(S),74.53%,(S),11.83%,3.94%
16018,Norrell,1812,85.04%,9.55%,0.99%,0.39%,1.55%,2.48%
16295,Nakamoto,1770,4.75%,(S),73.22%,(S),15.82%,6.10%
16295,Nims,1770,83.05%,11.98%,0.62%,0.45%,1.58%,2.32%
16349,Near,1762,90.86%,2.16%,2.61%,0.28%,0.74%,3.35%
16395,Nygren,1755,94.99%,(S),0.85%,(S),1.71%,2.11%
16437,Novello,1750,88.74%,(S),(S),(S),0.69%,10.06%
16555,Newlon,1734,92.62%,3.23%,0.92%,0.52%,1.04%,1.67%
16560,Newborn,1733,46.39%,46.45%,0.35%,0.40%,3.17%,3.23%
16601,Noga,1727,92.59%,(S),2.14%,(S),1.45%,3.36%
16624,Newbill,1725,51.19%,40.75%,1.28%,0.35%,3.77%,2.67%
16624,Nie,1725,20.75%,0.52%,76.64%,0.00%,1.22%,0.87%
16641,Newbern,1722,64.63%,31.07%,(S),(S),2.09%,1.57%
16707,Nyquist,1713,94.57%,(S),0.99%,(S),1.81%,2.22%
16824,Nilles,1697,93.93%,1.36%,1.06%,0.47%,1.36%,1.83%
16876,Nealey,1689,70.46%,26.35%,(S),(S),1.60%,1.01%
16900,Nowacki,1685,97.21%,0.30%,(S),(S),0.42%,1.78%
16919,Nevitt,1682,87.46%,7.13%,0.54%,1.43%,1.07%,2.38%
16968,Nicholes,1675,76.72%,16.60%,0.48%,0.90%,2.27%,3.04%
16975,Nakashima,1674,6.93%,(S),77.48%,(S),10.39%,4.96%
17033,Neptune,1668,48.92%,36.33%,0.36%,7.37%,3.96%,3.06%
17202,Neblett,1646,50.97%,41.86%,(S),(S),3.10%,3.65%
17216,Neto,1645,79.88%,5.35%,1.40%,0.00%,1.16%,12.22%
17216,Nocera,1645,90.40%,0.67%,2.31%,0.00%,0.55%,6.08%
17290,Noblitt,1637,94.87%,1.04%,(S),(S),1.22%,2.14%
17322,Noakes,1633,85.67%,9.25%,0.37%,0.80%,1.47%,2.45%
