Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic
21260,Janisch,1233,95.54%,(S),(S),0.65%,1.14%,2.03%
21393,Jandreau,1223,86.02%,(S),(S),10.06%,2.13%,1.31%
21439,Jenkin,1219,72.11%,21.90%,1.15%,0.41%,2.05%,2.38%
21609,Janecek,1207,95.03%,(S),(S),0.00%,0.66%,3.89%
21750,Jerman,1196,77.26%,14.72%,0.67%,1.59%,1.76%,4.01%
21895,Judah,1186,79.60%,9.61%,4.72%,(S),(S),3.88%
21912,Julia,1185,45.65%,4.30%,6.84%,(S),(S),42.03%
22106,Janz,1171,93.34%,(S),1.11%,(S),1.96%,2.39%
22113,Julio,1170,29.49%,1.97%,10.51%,0.43%,1.37%,56.24%
22201,Janak,1162,95.09%,(S),1.64%,(S),0.52%,2.50%
22246,Janiszewski,1159,96.98%,0.00%,0.52%,0.00%,0.86%,1.64%
22334,Judice,1154,90.81%,3.55%,(S),(S),0.95%,3.55%
22359,Jaycox,1152,88.45%,5.99%,(S),(S),2.95%,1.65%
22359,Jobson,1152,81.51%,11.37%,1.22%,0.43%,2.00%,3.47%
22392,Jedlicka,1150,94.52%,0.43%,1.04%,0.43%,2.26%,1.30%
22516,Jaimez,1142,4.47%,(S),(S),2.54%,(S),92.47%
22673,Jagodzinski,1131,97.79%,(S),(S),(S),0.62%,1.06%
22749,Jong,1126,6.22%,(S),85.97%,(S),3.82%,2.40%
22856,Junk,1120,95.63%,(S),0.89%,(S),1.25%,1.61%
22856,Juntunen,1120,94.55%,0.63%,1.61%,0.89%,1.61%,0.71%
22892,Jolivette,1118,23.08%,65.38%,0.63%,0.63%,5.90%,4.38%
22906,Janusz,1117,96.06%,(S),0.72%,(S),0.63%,2.24%
22906,Jefferis,1117,94.54%,2.60%,(S),(S),1.43%,0.63%
23283,Junco,1094,18.37%,1.28%,0.82%,(S),(S),78.98%
23691,Jahns,1069,94.76%,(S),1.22%,(S),0.94%,2.81%
23737,Jaso,1066,19.79%,0.47%,(S),(S),0.00%,79.36%
23785,Jansky,1063,94.92%,(S),0.66%,(S),1.13%,2.92%
23978,Jojola,1052,10.65%,(S),(S),36.50%,2.47%,50.10%
24090,Jetter,1045,64.02%,29.19%,0.86%,0.67%,1.91%,3.35%
24288,Jing,1033,2.52%,1.65%,94.68%,(S),0.87%,(S)
24466,Jabbar,1023,34.51%,20.14%,36.27%,(S),6.65%,(S)
24466,Jordahl,1023,96.77%,0.68%,(S),(S),0.98%,0.98%
24702,Jeudy,1010,0.89%,91.68%,0.69%,0.59%,2.28%,3.86%
24762,Jerrell,1006,88.97%,6.56%,(S),(S),1.59%,1.79%
